72,9,80,9
92,9,80,9
260,45,260,53
288,129,280,133
140,145,140,137
180,69,180,77
40,129,32,129
64,41,72,41
228,117,228,125
40,161,32,161
228,61,228,53
124,29,124,21
132,21,124,21
260,37,260,45
172,77,172,69
124,101,124,93
56,33,56,41
172,85,172,77
104,145,104,153
48,63,40,63
148,145,148,137
228,45,228,37
80,41,72,41
156,25,172,21
212,65,204,57
204,145,212,145
40,113,40,121
104,57,104,65
64,165,64,157
228,109,228,101
228,69,228,61
132,145,132,137
260,129,252,125
252,101,260,93
124,69,124,61
280,109,288,109
104,49,104,57
164,145,164,137
284,61,284,69
16,97,8,97
32,137,32,129
236,37,236,45
56,121,56,129
260,29,260,37
136,9,128,9
32,97,32,89
56,113,56,121
104,129,104,137
140,169,148,169
180,93,180,101
124,85,124,93
124,169,132,169
56,17,56,25
204,109,196,101
44,35,44,43
104,113,104,121
40,99,48,99
124,45,124,53
188,169,196,169
180,45,180,53
284,101,276,101
40,153,32,153
188,41,180,45
276,53,284,53
236,169,228,169
260,85,260,77
56,65,56,73
32,121,32,113
188,93,180,93
24,25,24,17
56,137,56,129
32,41,32,49
56,169,56,161
236,61,236,69
196,161,196,169
48,83,40,83
116,161,124,169
256,141,246,141
132,81,124,85
172,125,180,125
64,21,72,25
276,69,284,69
236,93,236,101
140,65,132,61
32,65,32,73
8,73,8,81
172,93,180,85
56,57,56,49
228,93,228,85
228,161,228,169
180,21,180,29
32,25,32,17
88,49,80,41
236,85,236,93
40,145,32,145
228,77,228,85
284,93,276,93
124,125,124,117
8,41,8,49
172,145,164,145
56,145,56,137
172,37,180,37
236,21,236,29
104,105,104,113
32,169,32,161
56,89,56,97
40,51,48,51
40,73,48,73
180,61,180,69
220,73,228,69
8,57,8,49
220,125,228,125
256,157,246,157
148,9,136,9
16,57,8,57
8,109,16,109
276,77,276,85
204,169,212,169
104,97,104,89
16,17,24,17
172,29,172,37
288,149,280,133
172,117,180,117
172,53,172,45
172,169,164,169
56,105,56,113
16,25,16,17
284,85,276,85
44,11,56,9
236,53,236,61
284,77,284,85
32,81,32,89
72,49,64,41
116,145,124,145
188,145,196,145
56,153,56,145
104,81,104,89
270,133,260,129
104,25,104,33
120,9,128,9
172,61,172,53
276,61,284,61
8,89,8,81
172,101,180,101
220,169,212,169
80,25,72,25
228,145,236,145
228,21,236,21
104,169,104,161
156,145,156,137
90,165,80,157
24,45,32,41
252,21,260,29
162,9,148,9
56,81,56,89
196,49,204,57
260,61,260,69
260,109,252,101
104,41,104,49
172,109,180,109
124,37,124,45
40,137,32,137
236,77,236,85
40,169,32,169
268,97,276,93
24,89,32,81
148,85,164,81
32,57,32,65
156,169,164,169
228,29,228,21
104,17,104,25
104,73,104,81
212,117,204,109
124,109,124,101
220,145,228,145
44,27,44,35
8,65,8,73
124,77,132,81
72,9,64,21
92,9,104,17
260,53,260,61
288,129,288,109
140,145,132,137
140,137,148,137
180,77,180,85
40,129,40,121
228,117,212,117
40,161,56,161
228,53,228,45
124,29,104,33
132,21,124,37
172,69,172,61
56,33,44,27
56,41,48,51
172,85,164,81
104,145,116,145
104,153,104,161
48,63,56,65
40,63,40,73
148,145,148,169
228,37,228,29
156,25,162,9
172,21,172,29
212,65,188,93
204,145,196,161
212,145,220,145
40,113,40,99
104,65,104,73
64,165,80,157
64,157,56,153
228,109,236,101
228,101,228,93
132,145,132,169
252,125,256,141
260,93,260,85
124,69,132,61
124,61,124,53
280,109,276,101
164,137,172,125
16,97,8,89
8,97,8,109
236,37,252,21
236,45,236,53
32,97,16,109
104,129,124,125
104,137,104,121
140,169,156,169
56,17,44,11
56,25,44,43
196,101,180,109
48,99,56,97
188,169,172,169
180,53,180,61
284,101,284,93
40,153,32,145
32,153,40,137
188,41,196,49
276,53,276,69
284,53,284,77
236,169,246,157
260,77,260,69
56,73,56,81
32,121,40,145
32,113,56,105
24,25,24,45
32,49,32,57
56,169,90,165
236,69,236,77
48,83,48,73
40,83,32,73
116,161,104,169
246,141,236,145
180,125,188,145
140,65,148,85
172,93,172,109
56,57,72,49
56,49,40,51
228,161,220,169
180,21,180,37
180,29,172,45
32,25,16,25
32,17,56,9
88,49,104,41
228,77,220,73
124,117,124,109
8,41,8,65
172,145,156,145
236,29,276,61
104,105,104,97
220,125,196,145
256,157,270,133
16,57,80,25
276,77,268,97
204,169,180,117
288,149,172,117
124,145,156,137
120,9,124,77
172,101,40,169
