-12008.9,4423.71
1145.45,2509.09
1300,2200
788.889,1944.44
-650,2150
-10596.4,2150
2298.68,1867.11
2216.41,1373.44
1373.62,-19533.1
2233.69,1108.47
3415.62,1581.25
3630.77,2011.54
3672.73,1959.09
3603.57,2075
4122.37,1809.21
4095,1645
3820,1370
3811.25,1317.5
4305,1505
3950,-625
3950,-24901.9
4255,1885
4362.5,1562.5
4365.91,2075
4341.67,1986.11
4620.65,1614.13
4652.27,1602.27
4900,487.5
4900,-26981.9
5000,937.5
4737.5,1687.5
5000,1600
4754.55,1727.27
4692.86,2035.71
5000,2050
5000,1933.33
5038.46,1869.23
5200,1800
5326.61,1754.03
5250,1800
5533.82,1736.76
6045,1365
5581.25,2068.75
5772.22,2183.33
5475,2175
5132.14,2182.14
5250,2093.75
5358.33,2175
4800,2250
5105,2250
5185,2450
5120.24,2655.95
5245,2500
5250,2500
5558.78,2510.14
5350,2533.33
5350,2831.25
5192.74,2945.97
5196.43,2946.43
5183.33,2950
5085.71,3242.86
5167.31,3378.85
5262.5,3400
5400,3512.5
5400,3950
5525,3981.25
5555,4000
5525,4075
5108.33,3708.33
5205,3805
5229.17,3950
5125,3400
4946.43,3667.86
4825,3400
4825,3708.33
4710.94,3841.41
4575,3637.5
4275,3562.5
4275,3475
4225,3425
4225,3191.67
4575,3339.29
4475,3325
4300,3091.67
4713.24,3260.29
4300,3050
4581.25,3050
4903.57,2950
4853.12,3126.56
4721.15,3236.54
4875,2705
4875,2900
4862.5,2450
4829.17,2650
4650,2100
4800,2250
4800,2325
4379.55,2100
4295.27,2331.76
4625,2441.67
4625,2650
4625,2650
4625,2900
4617.31,2905.77
4202.37,2464.47
4425,2650
4425,2841.67
4300,3050
4300,3008.33
4000,2542.31
4000,2608.33
3528.14,2192.34
3677.17,2368.48
3625,2525
2422.36,2247.63
2164.71,3289.82
2167.44,3275.58
2302.44,2950
3341.67,2950
3625,2950
3871.88,2950
3909.38,3050
3877.17,3307.61
3865,3335
3503.57,3010.71
3547.22,3141.67
3839.29,3360.71
2301.26,3673.87
3165,3715
2213.07,4450
2135.29,4713.24
3595.75,4978.77
3650,4450
3920.45,4856.82
3650,4890.62
3650,4450
3650,3817.11
3677.54,3805.51
4094.29,3833.57
3938.04,3857.61
4081.25,4615.62
4015,4450
4135,4350
4287.5,4350
4994.57,4151.09
5101.47,4498.53
4523.08,4067.31
4537.74,4030.66
4692.83,3959.08
4643.75,4550
5108.33,4550
4556.25,4600
4625,4875
4225,4687.5
4393.18,4561.36
4483.33,4600
4441.67,4875
4158.33,4936.11
4225,4825
4408.33,4825
4174.54,4973.93
4380.42,5058.75
4408.37,5094.11
4300.5,5203
4116.77,5116.61
4175.54,5203
3750,5300
4171.58,5300
3660,5300
3750,5300
4101.04,5475.52
4300.5,5344.04
4252,5500.99
4184.68,5434.93
4215.89,5369.29
4401.22,5499.6
4403.19,5370.92
4630.3,5200
4528.24,5737.75
4489.29,5767.88
4630.56,6191.67
4958.33,6241.67
5175,6025
4846.15,5200
4852.05,5193.03
5187.5,4668.75
5525,4725
4875,5150
4880,5130
5450,5293.75
5400,5558.33
5450,5425
5725,5425
5725,5425
5725,5587.5
5625,6075
5376.32,5728.95
5400,5710
5457.14,5721.43
5537.5,5775
5625,5891.67
5491.67,6075
5625,6075
5625,6400
5754.31,6438.79
5794.44,6800
5608.33,6400
5493.18,6356.82
5325,6250
5350,6250
5371.43,6255.36
5125,6350
5275,6575
5335.81,6808.78
5275,6775
5100,6350
5100,6775
4950,6300
4966.67,6316.67
4864.53,6827.33
4628.85,6201.92
4825,6300
4717.54,6930.22
4655,6555
4315,6525
4462.74,6273.11
4452.78,6352.78
4463.85,5777.88
4315,6150
4096.84,5684.39
4252,5736.28
4273.99,5751.51
3920.45,5743.18
4100,6012.5
3535.14,5567.57
3875,5737.5
3875,6150
4100,6150
4100,6150
4100,6525
3875,6150
3875,6717.86
2809.09,6100
2904.55,6150
3756.19,6870.62
1342.86,6100
-874.627,7652.24
800,7500
3700,7500
4035.71,7550
3776.6,7385.11
3743.1,7172.99
3795,7000
4257.35,7572.06
4218.75,7550
4550,7108.33
4590.62,7000
4597.73,6996.21
4681.52,6982.25
4406.25,7596.88
4550,7525
4525,7775
5050,7775
4375,7925
4343.75,8018.75
4475,8075
4103.57,8025
4325,8025
4626.79,8454.46
4325,8545
4575,9275
4753.57,9364.29
4200,10050
4304.55,9663.64
4350,9800
4150,10000
4000,9950
4250,9650
3975,9925
4250,9356.25
4250,9650
4057.47,8705.52
4187.5,8850
4225,8925
4125,9325
3503.57,8550
3782.55,8647.64
4027.78,9383.33
3736.36,9845.45
3973.81,9464.29
3976.19,9485.71
3635.61,9261.36
3530.33,9893
3225,8450
3475,8550
3568.33,9110
-2191.86,8450
-554625,187359
-6048.84,10000
3441.67,9950
2641.67,10000
3008.33,9950
4000,10400
3563.89,10691.7
3638.33,10245
3593.18,10779.5
3575,11300
2737.5,11350
3475,11350
-24158.6,19843.5
3746.43,11553.6
3825,11300
3825,11475
3799,10831
3858.33,11275
3769.44,11008.3
4000,11275
4000,10784.6
4225,11475
4200,11435
4425,10975
4200,10490.6
4210.71,10760.7
4200,10756.2
4138.43,10710.1
4148.53,10548.5
4550,10000
4279.55,10440.9
4475,10050
5050,10000
5050,9382.81
5050,10312.5
5050,10000
5775,10000
6175,10225
6300,10287.5
6025,10358.3
6125,10325
6300,10412.5
5993.75,10400
5775,10375
5800,10400
5100,10612.5
5100,10487.5
5100,10975
5100,10612.5
5800,10700
6218.75,10700
5775,10725
6275,10725
6100,10900
6100,11137.5
5900,11000
6075,11175
5775,10975
5792.86,11000
5100,10975
5735.71,11400
6075,11331.2
5800,11400
6250,11850
6136.11,11354.2
6250,11525
6450,11425
6350,11193.8
6350,11012.5
6450,11268.8
6400,10837.5
6400,10725
6419.12,10710.3
6653.57,11217.9
6828.57,11614.3
6736.36,11245.5
6933.33,10950
7300,10950
7100,10616.7
7212.5,10350
7100,10487.5
7184.09,10361.4
6975,10425
6910.71,10553.6
6609.62,10628.8
6556.1,10667.1
6550,10666.7
6830.88,10333.8
6962.5,10287.5
6937.5,10312.5
7100,10125
6983.33,10183.3
6866.67,10066.7
6937.5,9925
7225,9958.33
7125,9925
7318.75,9937.5
7100,9500
7150,9075
6950,9120
7111.36,9152.27
7139.29,9250
7071.88,9485.94
6848.91,9140.22
6818.75,9215.62
7011.11,9504.17
6940.91,9556.82
6450,9400
6932.14,9560.71
6850,9808.33
6850,9725
6650,9725
6650,9941.67
6636.54,9959.62
6684.38,10103.1
6681.52,10109.8
6550,10215
6375,10175
6450,9885
6450,10175
6383.93,9832.14
6266.67,10066.7
6150,10150
6025,10150
6225,10075
6075,9925
6350,9741.67
5975,9925
5825,10000
5775,10000
6050,9700
5775,9608.33
6356.82,9529.55
6350,9550
6445.45,9400
6358.48,9506.3
6300,8900
6300,8685
6075,8550
6075,8775
5950,8900
6058.33,8525
5675.76,9343.7
5050,9382.81
5900,8935.71
5900,8955
5763.29,9283.11
5725,8525
5833.33,8850
5684.38,8464.06
5050,7845
5050,7775
5050,7775
5118.32,7467.57
5260.34,7380.17
5552.11,7055.99
5600,7050
5650.81,7089.52
5750,7625
5821.88,7517.19
5750,7775
5783.51,7951.6
5766.89,7802.03
5953.57,8150
6157.14,8228.57
6137.5,8150
6300,8685
6300,8550
6317.86,8496.43
6358.33,8708.33
6375,8975
6500,8850
6435.81,9293.92
6343.52,9132.41
6750,9008.33
6550,9141.67
6750,8997.09
6550,8859.59
6543.06,8850
6579.9,8803
6832.37,8882.12
6752.5,8803
7150,8682.22
6950,8837.6
6600,8587.5
6751.38,8684.14
6620.91,8639.78
6565.62,8446.88
6600,8550
6368.33,7651.67
6646.31,8258.61
6270.31,8043.75
7012.76,8587.66
6950,8550
6655.77,8255.77
7178,8627
6900,8046.43
7410.45,8483.96
6450,7317.86
6998.13,7706.34
6900,7736.54
6466.33,7469.67
6450,7412.5
6532.95,6800
6571.65,6970.28
6550,6675
6801.53,6374.23
6097.52,6049.17
6550.5,6604
6550,6604.56
6110.41,6201.39
6095.68,6075
6694.51,6004.35
6550.5,6003
6716.91,5916.54
6574.56,5825.44
6374.49,5828.64
6750,5650
6675,5575
6995.45,5777.27
6950,5716.67
7450,6050
6950,5300
7465,5300
7085,4825
7150,3850
7150,3975
7100,3650
6825,3925
6975,4025
7131.25,4025
7150,4100
